Unnamed: 0,price,address,bedrooms,bathrooms,floor_area,price_sqm,geometry.type,geometry.coordinates,latitude,longitude
782,425000,"24 Allendale Drive, Clonsilla, Clonee, Dublin 15",3,3,115.0,3696.0,Point,"[-6.429194499999999, 53.3926279]",53.3926279,-6.429194499999999
783,495000,"29 Saint Aidans Park, Marino, Dublin 3",3,1,103.0,4806.0,Point,"[-6.2312781, 53.3656271]",53.3656271,-6.2312781
784,270000,"79 Edgewood Lawns, Blanchardstown, Dublin 15",3,1,84.0,3214.0,Point,"[-6.381743699999999, 53.39752319999999]",53.39752319999999,-6.381743699999999
785,795000,"5 Killiney Gate, Killiney, Co. Dublin",3,2,146.0,5445.0,Point,"[-6.124256099999999, 53.2548117]",53.2548117,-6.124256099999999
786,1895000,"Leeson Mews, 41 Leeson Place, South, Dublin 2",4,3,186.0,10188.0,Point,"[-6.2550218, 53.332922]",53.332922,-6.2550218
787,450000,"59 Lorcan Road, Santry, Dublin 9",3,2,102.0,4412.0,Point,"[-6.2445346, 53.3906027]",53.3906027,-6.2445346
788,325000,"70 Old Bawn Road, Tallaght, Clondalkin, Dublin 22",2,2,117.0,2778.0,Point,"[-6.3588581, 53.28232509999999]",53.28232509999999,-6.3588581
789,375000,"66 Annamoe Terrace, Cabra, Dublin 7",2,1,62.0,6048.0,Point,"[-6.2880807, 53.3605302]",53.3605302,-6.2880807
790,195000,"15 Sion Hill Court, Drumcondra, Dublin 9",1,1,40.0,4875.0,Point,"[-6.2395833, 53.37528529999999]",53.37528529999999,-6.2395833
791,600000,"33 Rathfarnham Mill, Rathfarnham, Dublin 14",2,2,99.0,6061.0,Point,"[-6.288122200000001, 53.29902689999999]",53.29902689999999,-6.288122200000001
792,775000,"67 Leinster Park, Harold's Cross, Dublin 6",4,3,138.0,5616.0,Point,"[-6.2757917, 53.32296729999999]",53.32296729999999,-6.2757917
793,430000,"34 Halliday Square, Stoneybatter, Dublin 7",2,1,69.0,6232.0,Point,"[-6.2894006, 53.3518508]",53.3518508,-6.2894006
794,625000,"4 Glencairn Garth, The Gallops, Leopardstown, Dublin 18",3,2,98.0,6378.0,Point,"[-6.2095707, 53.2656078]",53.2656078,-6.2095707
795,345000,"Apartment 9, Uppercross House, Temple Park, Richmond Avenue South, Dublin 6",1,1,56.0,6161.0,Point,"[-6.2539716, 53.3096593]",53.3096593,-6.2539716
796,255000,"104 Carrigmore Crescent, Citywest, Co. Dublin",2,1,66.0,3864.0,Point,"[-6.4259295, 53.28387559999999]",53.28387559999999,-6.4259295
797,585000,"87 Corr Castle Howth Road Howth, Howth, Dublin 13",3,2,110.0,5318.0,Point,"[-6.0910325, 53.3909504]",53.3909504,-6.0910325
798,375000,"Apartment 44, Millstream, Portmarnock, Co. Dublin",2,2,82.0,4573.0,Point,"[-6.1460802, 53.4197449]",53.4197449,-6.1460802
799,215000,"5 Chamber Street, Dublin 8",2,1,65.0,3308.0,Point,"[-6.279512899999999, 53.33791410000001]",53.33791410000001,-6.279512899999999
800,545000,"20 Oliver Plunkett Villas, Dun Laoghaire, Monkstown, Co. Dublin",2,2,87.0,6264.0,Point,"[-6.1567357, 53.2851155]",53.2851155,-6.1567357
801,435000,"13 Castleknock Grove, Castleknock, Castleknock, Dublin 15",3,1,98.0,4439.0,Point,"[-6.370987299999999, 53.3775449]",53.3775449,-6.370987299999999
802,170000,"25 Fingal Street, Dublin 8, South Circular Road, Dublin 8",1,1,37.0,4595.0,Point,"[-6.2974274, 53.3374482]",53.3374482,-6.2974274
803,395000,"5 The Avenue, Aubrey Manor, Rathcoole, Co. Dublin",4,4,153.0,2582.0,Point,"[-6.470041699999999, 53.2822154]",53.2822154,-6.470041699999999
804,875000,"Churchtown Lodge, Weston Park, Churchtown, Dublin 14",4,3,124.0,7056.0,Point,"[-6.2520181, 53.2905469]",53.2905469,-6.2520181
805,650000,"17 Ardagh Avenue, Blackrock, Co. Dublin",3,1,86.0,7558.0,Point,"[-6.1822879, 53.28299980000001]",53.28299980000001,-6.1822879
806,1850000,"24 Greenfield Park, Donnybrook, Dublin 4",4,4,337.0,5490.0,Point,"[-6.226658899999999, 53.312714]",53.312714,-6.226658899999999
807,375000,"42 Fairfield Avenue, East Wall, Dublin 3",3,1,94.0,3989.0,Point,"[-6.235840800000001, 53.3553023]",53.3553023,-6.235840800000001
808,635000,"6 Carrigmore Glen, Saggart, Co. Dublin",4,3,172.0,3692.0,Point,"[-6.4325993, 53.2826014]",53.2826014,-6.4325993
809,350000,"22 Garthy Wood, Knocklyon, Dublin 16",2,2,69.0,5072.0,Point,"[-6.318015099999999, 53.2819288]",53.2819288,-6.318015099999999
810,375000,"22 Rockwood, Finnstown Abbey, Lucan, Co. Dublin",3,3,100.0,3750.0,Point,"[-6.4495489, 53.34429799999999]",53.34429799999999,-6.4495489
811,1950000,"Blackwood Lodge, 3 Blackwoods, Blackwood Lane, Malahide, Co. Dublin",6,4,606.0,3218.0,Point,"[-6.141229099999999, 53.4328859]",53.4328859,-6.141229099999999
812,185000,"Apartment 54, Mayeston Court, Finglas, Dublin 11",1,1,43.0,4302.0,Point,"[-6.2893173, 53.4066865]",53.4066865,-6.2893173
813,480000,"120 Palmerstown Drive, Palmerstown, Dublin 20",3,2,131.0,3664.0,Point,"[-6.3603389, 53.35210360000001]",53.35210360000001,-6.3603389
814,1950000,"Blackwood Lodge, Blackwood Lane Malahide, Malahide, Co. Dublin",6,4,606.0,3218.0,Point,"[-6.141229099999999, 53.4328859]",53.4328859,-6.141229099999999
815,440000,"2 Chapelwood Avenue, Hollystown, Dublin 15",4,4,137.0,3212.0,Point,"[-6.3752236, 53.4321778]",53.4321778,-6.3752236
816,425000,"14 Coolgreena Road, Beaumont, Beaumont, Dublin 9",4,2,102.0,4167.0,Point,"[-6.2317706, 53.3863785]",53.3863785,-6.2317706
817,1700000,"Darragh, Darragh, 111 Fortfield Road, Terenure, Dublin 6W",5,3,279.0,6093.0,Point,"[-6.3009281, 53.30606479999999]",53.30606479999999,-6.3009281
818,400000,"66 St. Anthony's Crescent, Walkinstown, Greenhills, Dublin 12",3,1,88.0,4545.0,Point,"[-6.335751399999999, 53.3108902]",53.3108902,-6.335751399999999
819,375000,"16 Emmet Road, Kilmainham, Dublin 8",3,2,105.0,3571.0,Point,"[-6.3087084, 53.3404606]",53.3404606,-6.3087084
