Unnamed: 0,price,address,bedrooms,bathrooms,floor_area,price_sqm
145,325000,"12 Broomfield Hall, Broomfield Court, Shankill, Dublin 18",2,2,82.0,3963.0
146,595000,"19 Ardeevin Drive, Lucan, Co. Dublin",4,2,147.0,4048.0
147,495000,"13 Balnagowan, Palmerston Park, Rathmines, Dublin 6",2,2,74.0,6689.0
148,375000,"224 Olcovar, Shankill, Dublin 18",2,2,72.0,5208.0
149,975000,"Altis, Ballinclea Road, Killiney, Co. Dublin",5,2,177.0,5508.0
150,395000,"19 Canon Hall, Church Street East, East Wall, Dublin 3",2,2,62.0,6371.0
151,330000,"85 Kilworth Road, Drimnagh, Dublin 12",3,1,106.0,3113.0
152,425000,"34 Elmcastle Walk. D24 YW13, Kilnamanagh|Dublin 24, Kilnamanagh, Dublin 24",3,2,133.0,3195.0
153,249000,"63 Blackditch Road, Ballyfermot, Dublin 10",2,1,86.0,2895.0
154,295000,"4 Slievemore Road, Drimnagh, Dublin 12",2,1,86.0,3430.0
155,345000,"27 Woodford Downs, Clondalkin, Dublin 22",4,2,126.0,2738.0
156,199500,"Apt 1 Block A The Steeples, St Laurence€TM Road, Chapelizod, Dublin 20",1,1,40.0,4988.0
157,379000,"14 Thornleigh Square, Swords, Co. Dublin",5,4,157.0,2414.0
158,395000,"26 Beneavin Park, Glasnevin, D11N5H0, Dublin 11",3,1,89.0,4438.0
159,245000,"239 Premier Square, Finglas, D11XN26, Dublin 11",2,2,59.0,4153.0
160,650000,"4 Kelston Avenue Foxrock Dublin 18, Foxrock, Dublin 18",3,3,113.0,5752.0
161,350000,"Apartment 26, Fortwilliam, Blackrock, Co. Dublin",2,1,82.0,4268.0
162,695000,"5 Shenick Drive, Skerries, Co. Dublin",4,2,129.0,5388.0
163,450000,"34 River Valley Grove, Swords, Co. Dublin",3,3,122.0,3689.0
164,695000,"5 Shenick Drive, Skerries, Co. Dublin",4,2,129.0,5388.0
165,350000,"Apt 26 Fortwilliam, Mount Merrion Ave, Blackrock, Co. Dublin",2,1,82.0,4268.0
166,375000,"89 St Peters Road, Walkinstown, Dublin 12",3,1,102.0,3676.0
167,260000,"38 Rosedale Crescent, Clonee, Dublin 15",2,1,74.0,3514.0
168,345000,"11 Stralem Grove, Ongar, Dublin 15",4,3,125.0,2760.0
169,460000,"58 Castleknock Elms, Laurel Lodge, Castleknock, Dublin 15",3,1,93.0,4946.0
170,365000,"16 Aspen Park, Aspen Park, Kinsealy Court, Swords, Co. Dublin",3,1,84.0,4345.0
171,255000,"24 Green Briar, Verdemont, Blanchardstown, Dublin 15",2,2,63.0,4048.0
172,299000,"127 Lymewood Mews, Northwood, Santry, Dublin 9",2,2,70.0,4271.0
173,375000,"13 Dun Emer Road, Lusk, Co. Dublin",4,3,136.0,2757.0
174,220000,"72 Seagrave Drive, Finglas, D11AK07, Dublin 11",2,2,54.0,4074.0
175,225000,"Apt 7, Mayeston Court, Finglas, D11YY60, Dublin 11",2,2,71.0,3169.0
176,269000,"159 Cruise Park Drive, Tyrrelstown, D15HY64, Dublin 15",3,3,105.0,2562.0
177,275000,"20 Castle Elms, Coolock, D17FT80, Dublin 17",3,2,75.0,3667.0
178,299000,"96 North Road, Finglas, D11H5R2, Dublin 11",2,1,50.0,5980.0
179,345000,"447 Mourne Road, Drimnagh, Dublin 12",2,1,71.0,4859.0
180,369000,"50 Monastery Gate Close, Clondalkin, D22 PX70, Dublin 22",4,3,102.0,3618.0
181,300000,"60 Clonshaugh Avenue, Clonshaugh, D17 Y443, Dublin 17",3,1,90.0,3333.0
182,375000,"Apartment 207, Longboat Quay South Apartments, Grand Canal Dock, Dublin 2",1,1,50.0,7500.0
183,325000,"110 Greencastle Road, Coolock, Dublin 17",3,1,101.0,3218.0
184,325000,"40 Clanranald Road, Donnycarney, Dublin 5",2,1,60.0,5417.0
185,525000,"134 Brian Road, Marino, Dublin 3",3,1,111.0,4730.0
186,340000,"92 Clonliffe Avenue, Ballybough, Dublin 3",2,1,66.0,5152.0
187,875000,"40 Corr Castle, Howth Road, Howth, D13PY28, Dublin 13",4,2,175.0,5000.0
188,695000,"53 Cedarmount Road, Mount Merrion, Co. Dublin",3,1,116.0,5991.0
189,750000,"9 Orwell Park Dale, Templeogue, Templeogue, Dublin 6W",5,4,215.0,3488.0
190,340000,"Apartment 38, Block F, Milner's Square, Shanowen Road, Santry, Dublin 9",2,2,83.0,4096.0
191,425000,"Coill Ghiéºise, 17 Brookwood Heights, Artane, Dublin 5",3,1,126.0,3373.0
192,255000,"Apartment 24, Green Briar, Dublin 15",2,2,63.0,4048.0
193,325000,"36 St Johns Close, Clondalkin, Dublin 22",2,2,70.0,4643.0
194,425000,"164 Beauvale Park, Artane, Dublin 5",3,2,93.0,4570.0
195,325000,"74 West Courtyard, Tullyvale, Cabinteely, Dublin 18",2,2,70.0,4643.0
196,419000,"13 Riversdale Park, Palmerstown, Dublin 20",3,2,91.0,4604.0
197,335000,"39 Boroimhe Cedars, Swords, Co. Dublin",3,2,107.0,3131.0
198,575000,"1 Sefton Green, Rochestown Avenue, Dun Laoghaire, Co. Dublin",3,2,95.0,6053.0
199,340000,"18 Boulevard, Bellgree, Tyrrelstown, Dublin 15",4,3,140.0,2429.0
200,440000,"84 Grange Park View, Raheny, Dublin 5",3,1,106.0,4151.0
201,675000,"65 Cabinteely Green, Cabinteely, Dublin 18",4,3,123.0,5488.0
202,325000,"56 Ivy Court, Beaumont, Dublin 9",2,2,79.0,4114.0
203,229000,"29 Broadfield Close, Rathcoole, Co. Dublin",2,1,78.0,2936.0
204,199950,"Apt 6, Wikeford Hall, Thornleigh Road, Swords, Co. Dublin",2,2,61.0,3278.0
205,545000,"3 Haroldville Avenue, Rialto, Dublin 8",3,2,132.0,4129.0
206,495000,"1 Fancourt Road, Balbriggan, Co. Dublin",5,2,137.0,3613.0
207,495000,"26 Harmony Avenue, Donnybrook, Donnybrook, Dublin 4",2,1,64.0,7734.0
208,595000,"Ketu, Breffni Gate, Ketu, Breffni Gate, 25 Church Road, Dalkey, Co. Dublin",2,2,103.0,5777.0
209,845000,"153A Ballinclea Heights, Killiney, Co. Dublin",4,2,165.0,5121.0
210,270000,"Apartment 9, Scariff House, Waterville Terrace, Blanchardstown, Dublin 15",2,2,65.0,4154.0
211,495000,"27 Dodder View Cottages, Ballsbridge, Ballsbridge, Dublin 4",2,2,62.0,7984.0
212,310000,"44 Tenterfields, Brown Street South, South, Dublin 8",2,1,59.0,5254.0
213,365000,"182 Mourne Road, Drimnagh, Dublin 12",3,2,79.0,4620.0
214,575000,"3 Arranmore Avenue, Phibsborough, Dublin 7",2,1,93.0,6183.0
215,315000,"Apt. 95 Belfield Park Blackrock, Blackrock, Co. Dublin",1,1,42.0,7500.0
