,price,address,bedrooms,bathrooms,floor_area,district,neighbourhood,price_sqm
148,415000,"15 Killiney Hill Park, Killiney, Co. Dublin",2,2,70.0,Glenageary, Killiney,5929.0
149,645000,"Anacapri, 37 Sweetmount Park, Dublin 14",4,2,105.0,Dublin 14, 37 Sweetmount Park,6143.0
150,425000,"87 Red Arches Road, The Coast, Baldoyle, Dublin 13",4,3,145.0,Dublin 13, Baldoyle,2931.0
151,320000,"66 Stonebridge Avenue, Clonsilla, Dublin 15",3,1,80.0,Dublin 15, Clonsilla,4000.0
152,320000,"Apartment 6, Brock Hall, Dun Laoghaire, Co. Dublin",1,1,52.0,Glenageary, Dun Laoghaire,6154.0
153,550000,"37 Ballinteer Drive, Dundrum, Dublin 14",3,1,110.0,Dublin 14, Dundrum,5000.0
154,450000,"22 Leinster Avenue, North Strand, North Strand, Dublin 3",2,1,72.0,Dublin 3, North Strand,6250.0
155,700000,"21 Elmpark Avenue, Ranelagh, Ranelagh, Dublin 6",3,1,104.0,Dublin 6, Ranelagh,6731.0
156,775000,"2B Foxfield Park, Raheny, Raheny, Dublin 5",4,4,162.0,Dublin 5, Raheny,4784.0
157,295000,"6 Main Street, Ongar Village, Ongar, Dublin 15",3,3,138.0,Dublin 15, Ongar,2138.0
158,325000,"27 Saint Michaels Terrace, Blackpitts, Dublin 8",2,1,47.0,Dublin 8, Blackpitts,6915.0
159,320000,"Apartment 71 The Strand 149 North Strand Road, North Strand, Dublin 3",2,2,73.0,Dublin 3, North Strand,4384.0
160,280000,"365 Mourne Road, Drimnagh, Dublin 12",2,1,60.0,Dublin 12, Drimnagh,4667.0
161,695000,"30 Vale View Avenue, Cabinteely, Dublin 18",4,2,143.0,Dublin 18, Cabinteely,4860.0
162,425000,"36 Tivoli Terrace East, Dun Laoghaire, Co. Dublin",2,1,69.0,Glenageary, Dun Laoghaire,6159.0
163,1595000,"15 Waltham Terrace Blackrock, Blackrock, Co. Dublin",4,2,198.0,Blackrock, Blackrock,8056.0
164,610000,"64 St. Assams Park, Raheny, Dublin 5",3,2,106.0,Dublin 5, Raheny,5755.0
165,335000,"33 East Wall Road, East Wall, Dublin 3",3,1,75.0,Dublin 3, East Wall,4467.0
166,399950,"35 Belmayne Park North, Balgriffin, Belmayne",4,2,124.0,Dublin 13, Balgriffin,3225.0
167,635000,"10 Diswellstown Park, Hamilton Park, Castleknock, Dublin 15",4,3,144.0,Dublin 15, Castleknock,4410.0
168,250000,"51 Phibblestown House, Clonee, Dublin 15",2,2,73.0,Dublin 15, Clonee,3425.0
169,470000,"20 Airpark House, Rathfarnham, Dublin 16",2,2,112.0,Dublin 16, Rathfarnham,4196.0
170,550000,"21 Lansdowne Crescent, Ballsbridge, Dublin 4",2,1,68.0,Dublin 4, Ballsbridge,8088.0
171,325000,"6 Belfry Close, Citywest Road, Citywest, Co. Dublin",3,3,108.0,Dublin 24, Citywest,3009.0
172,455000,"352 Cashel Road, Kimmage, Kimmage, Dublin 12",3,3,89.0,Dublin 12, Kimmage,5112.0
173,1400000,"Off Market Listing, Mount Anville Road, Mount Merrion, Co. Dublin",4,2,188.0,Blackrock, Mount Merrion,7447.0
174,335000,"29 Mask Drive, Artane, Artane, Dublin 5",2,1,66.0,Dublin 5, Artane,5076.0
175,595000,"194 Kimmage Road West, Kimmage, Dublin 12",3,2,146.0,Dublin 12, Kimmage,4075.0
176,360000,"Apartment 35, The Atrium, The Steelworks, Dublin 1",2,2,60.0,Dublin 1, The Steelworks,6000.0
177,335000,"Apartment 2, Richmond Villas, Dublin 2",2,1,51.0,Dublin 2, Richmond Villas,6569.0
178,345000,"64 Stannaway Road, Crumlin, Dublin 12",2,1,57.0,Dublin 12, Crumlin,6053.0
179,395000,"16 Clanboy Road, Donnycarney, Dublin 5",2,1,62.0,Dublin 5, Donnycarney,6371.0
180,350000,"63 Churchwell Road, Belmayne, D13PE03, Dublin 13",3,3,116.0,Dublin 13, D13PE03,3017.0
181,525000,"110 Nephin Road, Navan Road, Navan Road (D7), Dublin 7",3,1,110.0,Dublin 7, Navan Road (D7),4773.0
