,price,address,bedrooms,bathrooms,floor_area
86,"€595,000 ","88 Murphystown Road, Leopardstown, Dublin 18",4 Bed,3 Bath,108 m²
87,"€300,000 ","Apartment 88, Burnell Square, Mayne River Avenue, Malahide Road, Northern Cross",2 Bed,2 Bath,64 m²
88,"€245,000 ","Apartment 4, Ballymount Square, Ballymount, Dublin 12",1 Bed,1 Bath,60 m²
89,"€245,000 ","10 The Square, Larch Hill, Dublin 9",2 Bed,1 Bath,64 m²
90,"€485,000 ","43 Lambay Road, Drumcondra, Drumcondra, Dublin 9",2 Bed,1 Bath,86 m²
91,"€295,000 ","43 Prospect Avenue, Glasnevin, Dublin 9",2 Bed,1 Bath,61 m²
92,"€475,000 ","25 Castleknock Elms, Castleknock, Castleknock, Dublin 15",3 Bed,2 Bath,100 m²
93,"€350,000 ","Apartment 28, Christchurch View, Christchurch, Dublin 8",2 Bed,1 Bath,56 m²
94,"€445,000 ","Apartment 53, Hazelbrook, Goatstown, Dublin 14",2 Bed,2 Bath,75 m²
95,"€200,000 ","Apartment 20, Block A, Lansdowne Valley Apartments, Drimnagh, Dublin 12",1 Bed,1 Bath,57 m²
96,"€280,000 ","Apartment 34, Griffith Hall, Glandore Road, Drumcondra, Dublin 3",2 Bed,1 Bath,65 m²
97,"€295,000 ","6 Kings Hall, 191-193 Phibsboro Road, Dublin 7",2 Bed,1 Bath,52 m²
98,"€525,000 ","60 Milltown Avenue Mount St Annes Milltown Dublin 6, Milltown, Dublin 6",2 Bed,2 Bath,85 m²
99,"€695,000 ","23 Fortfield Road Terenure Dublin 6W, Terenure, Dublin 6",3 Bed,2 Bath,124 m²
100,"€295,000 ","Apartment 7, Kilross, Rathmines, Dublin 6",1 Bed,1 Bath,47 m²
101,"€595,000 ","208 Kimmage Road Lower, Kimmage, Dublin 12",4 Bed,2 Bath,113 m²
102,"€525,000 ","Apartment 50, Orwell Hall, Rathgar, Dublin 6",1 Bed,1 Bath,64 m²
103,"€435,000 ","46 Cremorne, Terenure, Dublin 6",2 Bed,1 Bath,73 m²
104,"€495,000 ","30 Idrone Park, Knocklyon, Dublin 16",2 Bed,1 Bath,102 m²
105,"€495,000 ","129 Nutgrove Avenue, Rathfarnham, Dublin 14",3 Bed,1 Bath,70 m²
106,"€595,000 ","50 Prospect View, Prospect Manor, D16P9W7, Dublin 16",4 Bed,2 Bath,115 m²
107,"€325,000 ","105 The Beech, Grange Hall, Rathfarnham, Dublin 16",2 Bed,2 Bath,76 m²
108,"€550,000 ","22 Llewellyn Court, Rathfarnham, Dublin 16",3 Bed,1 Bath,80 m²
109,"€595,000 ","106 Templeville Road, Templeogue, Dublin 6W",4 Bed,1 Bath,149 m²
110,"€675,000 ","The Meadow, 157a Whitehall Road West, Perrystown, Dublin 12",3 Bed,3 Bath,124 m²
111,"€1,100,000 ","The Oak, 106a Templeville Road, Templeogue, Dublin 6W",4 Bed,3 Bath,241 m²
112,"€325,000 ","244 Keeper Road, Drimnagh, Dublin 12",2 Bed,1 Bath,70 m²
113,"€525,000 ","14 St. Mary's Avenue, Rathfarnham, Dublin 14",2 Bed,1 Bath,93 m²
114,"€695,000 ","95 Barton Drive, Rathfarnham, Dublin 14",4 Bed,3 Bath,126 m²
115,"€1,100,000 ","3 Old Orchard, Butterfield Avenue, Dublin 14",4 Bed,2 Bath,190 m²
116,"€595,000 ","19 Prospect Avenue, Prospect Manor, Rathfarnham, Dublin 16",3 Bed,3 Bath,142 m²
117,"€395,000 ","17 Whitechurch Place, Rathfarnham, Dublin 16",3 Bed,3 Bath,87 m²
118,"€750,000 ","31 Orchardstown Avenue, Rathfarnham, Dublin 14",4 Bed,2 Bath,158 m²
119,"€445,000 ","32 Nutgrove Avenue, Rathfarnham, Dublin 14",3 Bed,1 Bath,83 m²
120,"€249,950 ","11 Sundale Lawn, Tallaght, Dublin 24",3 Bed,1 Bath,82 m²
121,"€275,000 ","13 Alderwood Avenue, Springfield, D24W65N, Dublin 24",3 Bed,1 Bath,80 m²
122,"€450,000 ","81 Carrigwood, Firhouse, Dublin 24",3 Bed,1 Bath,100 m²
123,"€249,000 ","108 Buttercup Park, Darndale, Dublin 17",3 Bed,1 Bath,80 m²
124,"€495,000 ","13 Shackleton Crescent, Lucan, Co. Dublin",4 Bed,3 Bath,172 m²
125,"€1,065,000 ","9 Old Estuary Mill, Malahide, Co. Dublin",5 Bed,4 Bath,265 m²
